Region,Address,UnitNo,PostalCode,Lat,Long,,,
Central,,,188994,1.3010533,103.8510591,,,
Central,,,188994,1.3010533,103.8510591,,,
Central,,,238164,1.3005142,103.8376372,,,
Central,,,247729,1.303711,103.8242161,,,
Central,"SINGTEL ISRN BUILDING1 SERANGOON NORTH AVENUE 5",,554915,1.372507,103.868183,,,
Central,"SMU ADMINISTRATION BUILDING81 VICTORIA STREET",,188065,1.2968599,103.852202,,,
Central,"SMU, SCHOOL OF INFO SYSTEM80 STAMFORD ROAD",,178902,1.2967089,103.850094,,,
Central,"SOMERSET MRT STATION1 SOMERSET MRT STATION",,238162,1.300256,103.839051,,,
Central,"SPC ADAM31 ADAM ROAD",,289896,1.3281251,103.8136943,,,
Central,"SPC ANG MO KIO793 ANG MO KIO AVENUE 1",,569975,1.3652894,103.8396734,,,
Central,"SPC BALESTIER462 BALESTIER ROAD",,329837,1.326652,103.847936,,,
Central,"SPC BRADDELL317 BRADDELL ROAD",,579706,1.343517,103.846259,,,
Central,"SPC BUKIT MERAH3800 JALAN BUKIT MERAH",,159464,1.284227,103.818404,,,
Central,"SPC BUKIT TIMAH623A BUKIT TIMAH ROAD",,269733,1.3249552,103.8089412,,,
Central,"SPC HAVELOCK397 HAVELOCK ROAD",,169630,1.2898266,103.8267934,,,
Central,"SPC KILLINEY132 KILLINEY ROAD",,239562,1.296849,103.837996,,,
Central,"SPC QUEENSWAY264 QUEENSWAY",,149062,1.288705,103.8036319,,,
Central,"SPC RIVER VALLEY2 JERVOIS ROAD",,248994,1.2932097,103.8248195,,,
Central,"SPC THOMSON327 THOMSON ROAD",,307673,1.324793,103.841602,,,
Central,"SPC TOA PAYOH180 TOA PAYOH LORONG 6",,319381,1.335755,103.8554939,,,
Central,"SPC UPPER THOMSON98 UPPER THOMSON ROAD",,574330,1.348829,103.837778,,,
Central,"SPC YIO CHU KANG76 YIO CHU KANG ROAD",,545570,1.296849,103.837996,,,
Central,"STANDARD CHARTERED BATTERY ROAD6 BATTERY ROAD",,049909,1.285539,103.851667,,,
Central,"STANDARD CHARTERED UPPER THOMSON246R UPPER THOMSON ROAD",,574370,1.3539057,103.8341222,,,
Central,"STARHUB SHOP PLAZA SINGAPURA68 ORCHARD ROAD #B2-17",#B2-17,238839,1.3006139,103.8451045,,,
Central,"SUBARU TOA PAYOH19 LORONG 8 TOA PAYOH",,319255,1.339809,103.858861,,,
Central,"SUBORDINATE COURT2 HAVELOCK ROAD",,059763,1.281059,103.838668,,,
Central,"SULTAN LINK53 MOHAMED SULTAN ROAD",,238993,1.2916819,103.8400999,,,
Central,"SULTAN PLAZA100 JALAN SULTAN",,199001,1.302832,103.861969,,,
Central,SUNTEC CITY MALL (GRANDMA'S PROUDLY,,038983,1.295968,103.858967,,,
